"","GCU","N","nb_loci","polymorphic_loci","Hs","Fis","ave_pairwise_fst","pop_specific_fst","Q1","Q2","Q3","Q4"
"1","ESP00057",24,14053,0.957019853412083,0.0662533552490531,0.00110172747802395,0.238597810293608,0.513577124118824,0.0242382727916667,0.0603686034166667,0.904839041666667,0.0105540075
"2","ESP00091",24,14053,0.944495837187789,0.0635391916017996,-0.0413113928193931,0.199783076065519,0.452097685957191,0.00139507245833333,0.021070471875,0.973329708333333,0.00420470745833333
"3","ESP00094",23,14053,0.947769159610048,0.0584408548352512,0.00647605699989195,0.21819400968526,0.526328722690538,0.00271452808695652,0.047426472173913,0.945589130434783,0.00426991213043478
"4","ESP00106",23,14053,0.932256457695866,0.0660567419378111,-0.0403508677867386,0.192227516758488,0.425658451562312,0.0132728713913043,0.0602623886086956,0.894272130434783,0.0321925929130435
"5","ESP00166",24,14053,0.934106596456273,0.0591851973684211,0.0166062399351162,0.212551747353079,0.475476450296059,0.00817379225,0.0429776183333333,0.93685525,0.0119933588333333
"6","ESP00377",24,14053,0.936099053582865,0.0574719015947937,-0.0370610270121412,0.223293802302825,0.480232958959792,0.000799905041666667,0.01249791575,0.983778791666667,0.00292338725
"7","ITA00025",22,14053,0.861880025617306,0.144499748073503,0.0160687433531557,0.308229797831416,0.2031296645009,0.780995409090909,0.0483749626818182,0.153231130181818,0.0173984644545455
"8","ITA00027",21,14053,0.898100049811428,0.156439439948435,0.00759331580549005,0.224343205078848,0.114399497729546,0.154831709095238,0.0966602571428571,0.236928347619048,0.511579714285714
"9","ITA00046",25,14053,0.930406318935459,0.183091537638245,-0.0084477932275373,0.222211412414327,0.142022709345869,0.09340033852,0.02642802676,0.03801169612,0.84215996
"10","ITA00075",23,14053,0.930833274034014,0.0550831212709367,-0.072791558478716,0.350030967353734,0.555798141924385,0.00830106352173913,0.816337434782609,0.161370006086957,0.0139914916086957
"11","ITA00076",25,14053,0.920586351668683,0.0645355527010633,-0.0526937917218677,0.321158549360305,0.465602311806361,0.00709429572,0.92878524,0.06000220972,0.00411818508
"12","ITA00133",24,14053,0.873123176545933,0.14516457757526,0.0430494516434313,0.312147288331322,0.208781386735347,0.761545291666667,0.0683049226666667,0.15987258175,0.0102769997916667
"13","ITA00165",19,14053,0.86308973172988,0.0590149178729468,0.114587118997083,0.269143921910922,0.420090366881376,0.083655018,0.0686210611052632,0.820533684210526,0.0271903403684211
"14","ITA00261",18,14053,0.877748523446951,0.0688101990970321,0.0574449720165954,0.220240886365429,0.356730394512903,0.0638852758888889,0.0977973433333333,0.779692833333333,0.0586245236666667
"15","ITA00270",24,14053,0.933964278090088,0.0708074693017511,0.018786943543637,0.273817280464405,0.466477121180236,0.0277031048333333,0.243742875,0.635820958333333,0.0927330125
